도서명,저자,출판사,발행일,정가,판매가,리뷰 수,페이지 수,도서 소개,상품ID
똑똑한 파이썬,황재호 외,인포앤북,20251101,22000.0,19800,0,,"‘개념 → 예제 → 연습 → 프로젝트’로 이어지는 한 권 완성 코스로, 초등 학습자와 완전 초심자도 스스로 따라 하며 파이썬 기초를 탄탄히 다질 수 있습니다. 개정 3판에서는 설명을 더 간결하게 다듬고, 학교·학원 현장에서 자주 쓰는 예제와 복습 퀴즈를 대폭 보강했습니다. 책과 연동된 온라인 실습 플랫폼(병행 학습)을 통해 예습·복습을 웹에서 바로 진행할 수 있으며, 어린 학습자도 이해하기 쉬운 문장과 컬러 도해로 핵심 개념이 ‘딱’ 들어옵니다. 집에서의 독학은 물론, 학교·학원 수업에서도 바로 활용할 수 있도록 내용을 체계적으로 구성했습니다.",S000218193574
실무에 바로 쓰는 일잘러의 챗GPT 프롬프트 74가지,이석현,제이펍,20251023,22000.0,19800,0,,"챗GPT 출시 3년, 이제 챗GPT는 업무와 일상 모든 곳에서 든든한 파트너로 활약하고 있다. 사용자는 챗GPT와 이메일 작성, 기획안·보고서 검토, 데이터 분석과 프레젠테이션 등 직장에서 마주하는 문제를 해결하고, 동시에 번아웃 극복, 동기부여, 소비 습관 분석 등 개인적인 고민을 나누기도 한다. 이 책은 단순한 챗GPT 기능 설명서가 아니다. 74가지의 프롬프트를 통해 ‘업무’를 혁신하고, ‘일상’에 집중할 수 있는 노하우를 담았다. 일도, 일상도 놓칠 수 없는 일잘러의 모든 순간을 위한 챗GPT 활용법, 쉽고 빠르게 시작해 보자.",S000218183044
AI 엔지니어링,칩 후옌,한빛미디어,20250930,40000.0,36000,0,,"“프로덕트 레벨에 맞는 설계란 무엇일까요?” 파운데이션 모델을 활용해 누구나 손쉽게 AI 애플리케이션을 만들 수 있는 시대가 되었습니다. 하지만 실제 프로덕트 레벨의 시스템을 구축하려면 단순한 API 호출이나 프롬프트 작성만으로는 충분하지 않습니다. 아이디어를 사용자가 만족하는 서비스로 완성하기 위해서 빠르게 변화하는 모델 환경과 기술 스택, 늘어나는 활용 가능성과 그에 따른 리스크 속에서 AI 애플리케이션을 안정적이고 효과적으로 설계하고 운영해야 합니다. 이 책은 현업의 이러한 고민에 명쾌한 해답을 제시하는 AI 엔지니어링 실전 가이드입니다. 프롬프트 엔지니어링, RAG, 파인튜닝, 에이전트, 데이터셋 설계 등의 다양한 기법부터 평가 지표 설계, 인프라 최적화, 사용자 피드백을 통한 개선 루프 구축까지, AI 모델을 실제 서비스로 연결하기 위한 전 과정을 체계적으로 설명합니다. 파운데이션 모델을 ‘어떻게 쓸 것인가’에 그치지 않고, 어떤 문제를 해결할 수 있는지, 또 이를 어떤 방식으로 설계하고 발전시킬 수 있도록 가이드합니다. 파운데이션 모델을 사용하는 단계를 넘어 신뢰받는 AI 프로덕트를 설계, 운영, 개선하고자 고민하는 모든분께 이 책을 추천합니다.",S000217939673
AI 프로덕트 기획과 운영,마릴리 니카,한빛미디어,20250929,22000.0,19800,0,,"AI는 불과 10년 전에는 상상하지 못한 방식으로 문제를 해결하고 솔루션을 확장할 힘을 제공하며, 디지털 환경과 프로덕트 개발 방식을 급격히 변화시키고 있습니다. 프로덕트 역시 마찬가지입니다. AI 프로덕트는 자율적으로 작동하며 사용자와의 상호작용을 통해 스스로 학습하고 발전해, 계획 수립부터 의사결정, 작업 조율 및 실행, 사용자에게 개인화된 경험 제공까지 다양하고 복잡한 작업을 수행합니다. 그렇기에 앞으로 모든 프로덕트 매니저는 AI 프로덕트 매니저(AI PM)가 될 것입니다. 이 책은 스마트한 전략, 바로 적용할 수 있는 도구, 현장 사례를 담아 복잡한 AI 에이전트와 생성형 AI 프로덕트를 혁신으로 잇는 방법을 담은 가이드입니다. AI PM이 프로덕트에 AI 기술을 활용해 사용자의 문제를 해결하는 방법을 알아보세요. 조직을 이끄는 리더든 PM을 준비하는 사람이든, AI 사전 지식과 무관하게 이 가이드를 통해 AI 프로덕트 라이프사이클의 전 과정을 자신 있게 이끌어 보세요. 주요 내용 ● AI 프로덕트 개발을 체계적으로 관리하는 도구·프레임워크·전략 인사이트 ● 문제를 해결하는 프로덕트 조직의 에이전틱 AI 및 생성형 AI 활용법 ● 다양한 AI 모델과 이를 구동하는 알고리즘을 이해하고 전략적 트레이드오프를 결정해 명확한 OKR을 설정하는 법",S000217939667
"개발, 그렇게 하는게 아닌데?",강성봉 외,드러커마인드,20251002,18800.0,16920,0,,"비용과 시간, 개발품질 사이에서 길을 잃은 경험이 있다면 혼란을 풀어줄 지침서가 될 것입니다. 우리는 매일 ‘개발’을 마주합니다. 새로운 시스템을 도입할 때, 자동화 툴을 활용할 때, 혹은 팀과 협업할 때조차도. 하지만 정작 많은 프로젝트가 실패합니다. 그 이유는 기술의 부족이 아니라, 서로 다른 언어를 쓰는 경영자와 개발자의 간극 때문입니다. 『개발, 그렇게 하는 거 아닌데?』는 수백 건의 프로젝트 경험과 시행착오에서 길어 올린 지혜를 담았습니다. 건축의 붕괴 사례에서 배우는 설계의 중요성, 햄버거와 셰프의 비유로 풀어낸 프로그래밍 언어의 특징, AI 프로젝트 협업에서 드러난 경영과 기술의 시각 차이. 복잡한 개념을 누구나 이해할 수 있도록 풀어내며, 개발이란 결국 “더 나은 내일을 설계하는 행위”임을 보여줍니다. 책장을 넘기다 보면 깨닫게 될 것입니다. 개발은 코드를 짜는 일만이 아니라,문제를 발견하고 해결하며 사람과 세상을 변화시키는 과정이라는 것을. 이 책은 개발자가 아니어도, 개발을 해야만 하는 모든 사람을 위한 안내서입니다. 실무자에게는 반복된 노동에서 벗어나는 자유를, 경영자에게는 비용이 아닌 가치 창출의 관점을, 개발자에게는 창조자로서의 자부심을 전하며, 결국 성공적인 협업과 성장을 위한 실질적인 방법을 건넵니다.『개발, 그렇게 하는 거 아닌데?』는 당신의 프로젝트가 실패하지 않도록, 올바른 시작과 끝을 함께 설계할 것입니다.",S000217626028
코드 어시스턴트를 활용한 바이브 코딩,김종덕,아이티포럼,20250930,25000.0,22500,0,,"이 책은 다양한 “코드 어시스턴트”를 사용하고 싶은 일반인분들을 대상으로 했습니다. 또 는 초보 개발자로 바이브 코딩을 통해 생산성을 높이기를 원하는 분들을 대상으로 했습니 다. IT지식이 전혀 없는 분들도 보실 수 있고, 개발자의 초급 단계에 있는 분들도 보실 수 있도록 집필을 했습니다.",S000217613997
"오래된 인터뷰, 개발자의 미래를 긷다 1~2권 세트",수전 래머스 외,인사이트,20251020,54000.0,48600,0,,"[급변하는 컴퓨팅 기술에 답하는 우리 시대 대가들의 사유] 컴퓨팅 기술의 역사를 살펴보면 대체로 기술의 복잡도는 높아지고 수명은 짧아지는 양상을 발견하게 된다. 그리고 최근 몇 년 사이 가장 유력한 단절적 기술 후보인 인공 지능은 이러한 양상을 더욱 부추기고 있다. 품질 문제가 여전히 있다고는 하지만 인공 지능이 생성해 내는 코드양은 이제는 사람이 따라잡기 곤란할 수준에 이르렀다. 혹자는 프로그래머들이 자신을 먹어 치울 기술을 개발했다고도 한다. 과연 그럴까? 맹목적인 향수는 곤란하지만 시대가 급변할 때 사람들은 과거를 살피고 거기에서 통찰을 길어 왔다. 역사가 상대적으로 짧은 컴퓨팅 분야도 마찬가지이다. 수십 년 전 이야기에서 오늘날 개발자들이 어쩌면 잊고 있었을지도 모르는 프로그래밍의 본질을 다시 고민해 보아야 하는 때이다. 《오래된 인터뷰, 개발자의 미래를 긷다》 1, 2권은 우리 시대 대가들을 찾아 수많은 기술이 명멸해 온 컴퓨팅 세계에서 변하지 않는 프로그래밍이란 과연 무엇인지에 대해 묻는다. 운영 체제 개발자, 프로그래밍 언어 설계자, 킬러 애플리케이션 개발자, 학자 등 각자 분야가 다르고 세부적인 의견은 다르지만 이들은 좀처럼 변하지 않은 프로그래밍의 공통 원리를 논한다. 그리고 사실 그들을 이끈 것은 첨단 도구 사용이나 유행 편승 여부가 아니라 왕성한 호기심과 탐구 정신, 깊은 사유임을 이 인터뷰집은 알려 준다.",S000217613738
"오래된 인터뷰, 개발자의 미래를 긷다 2",피터 사이블,인사이트,20251020,32000.0,28800,0,,"컴퓨팅 기술의 역사를 살펴보면 대체로 기술의 복잡도는 높아지고 수명은 짧아지는 양상을 발견하게 된다. 그리고 최근 몇 년 사이 가장 유력한 단절적 기술 후보인 인공 지능은 이러한 양상을 더욱 부추기고 있다. 품질 문제가 여전히 있다고는 하지만 인공 지능이 생성해 내는 코드양은 이제는 사람이 따라잡기 곤란할 수준에 이르렀다. 혹자는 프로그래머들이 자신을 먹어 치울 기술을 개발했다고도 한다. 과연 그럴까? 맹목적인 향수는 곤란하지만 시대가 급변할 때 사람들은 과거를 살피고 거기에서 통찰을 길어 왔다. 역사가 상대적으로 짧은 컴퓨팅 분야도 마찬가지이다. 수십 년 전 이야기에서 오늘날 개발자들이 어쩌면 잊고 있었을지도 모르는 프로그래밍의 본질을 다시 고민해 보아야 하는 때이다. 《오래된 인터뷰, 개발자의 미래를 긷다》 1, 2권은 우리 시대 대가들을 찾아 수많은 기술이 명멸해 온 컴퓨팅 세계에서 변하지 않는 프로그래밍이란 과연 무엇인지에 대해 묻는다. 운영 체제 개발자, 프로그래밍 언어 설계자, 킬러 애플리케이션 개발자, 학자 등 각자 분야가 다르고 세부적인 의견은 다르지만 이들은 좀처럼 변하지 않은 프로그래밍의 공통 원리를 논한다. 그리고 사실 그들을 이끈 것은 첨단 도구 사용이나 유행 편승 여부가 아니라 왕성한 호기심과 탐구 정신, 깊은 사유임을 이 인터뷰집은 알려 준다.",S000217613702
"오래된 인터뷰, 개발자의 미래를 긷다 1",수전 래머스,인사이트,20251020,28000.0,25200,0,,"컴퓨팅 기술의 역사를 살펴보면 대체로 기술의 복잡도는 높아지고 수명은 짧아지는 양상을 발견하게 된다. 그리고 최근 몇 년 사이 가장 유력한 단절적 기술 후보인 인공 지능은 이러한 양상을 더욱 부추기고 있다. 품질 문제가 여전히 있다고는 하지만 인공 지능이 생성해 내는 코드양은 이제는 사람이 따라잡기 곤란할 수준에 이르렀다. 혹자는 프로그래머들이 자신을 먹어 치울 기술을 개발했다고도 한다. 과연 그럴까? 맹목적인 향수는 곤란하지만 시대가 급변할 때 사람들은 과거를 살피고 거기에서 통찰을 길어 왔다. 역사가 상대적으로 짧은 컴퓨팅 분야도 마찬가지이다. 수십 년 전 이야기에서 오늘날 개발자들이 어쩌면 잊고 있었을지도 모르는 프로그래밍의 본질을 다시 고민해 보아야 하는 때이다. 《오래된 인터뷰, 개발자의 미래를 긷다》 1, 2권은 우리 시대 대가들을 찾아 수많은 기술이 명멸해 온 컴퓨팅 세계에서 변하지 않는 프로그래밍이란 과연 무엇인지에 대해 묻는다. 운영 체제 개발자, 프로그래밍 언어 설계자, 킬러 애플리케이션 개발자, 학자 등 각자 분야가 다르고 세부적인 의견은 다르지만 이들은 좀처럼 변하지 않은 프로그래밍의 공통 원리를 논한다. 그리고 사실 그들을 이끈 것은 첨단 도구 사용이나 유행 편승 여부가 아니라 왕성한 호기심과 탐구 정신, 깊은 사유임을 이 인터뷰집은 알려 준다.",S000217613659
디지털 마케팅 용어 도감,다케우치 테츠야,정보문화사,20250925,23000.0,20700,0,,"마케팅 용어는 특히 약어가 많고 새로운 용어가 계속 등장해, 신입사원뿐만 아니라 베테랑 마케터도 새로운 용어를 계속 공부해야 한다. 특히 각종 분야를 넘나들기 때문에 SEO, SNS, 경영, 기술, 개발, 크리에이티브 용어까지 이해해야 흐름에 맞춰 적절한 디지털 마케팅 진행이 가능하다. 이 책은 디지털 마케팅이란 어렴풋한 개념을 누구든 이해할 수 있도록 하기 위해 사전식으로 구성되어 있다. 256개의 용어는 디지털 마케팅 기본 용어, 광고와 SEO 용어, 미디어·SNS 용어, 크리에이티브·판촉·영업 용어, 분석·개발 용어, 경영·경제 용어와 중요 인물로 7장으로 분류되어, 독자가 언제든 필요한 부분만 찾아 리스킬링할 수 있다. 약어가 많은 용어의 특징을 고려해 256개 용어의 전체 명칭과 음차를 항상 표시하고, 한 줄 정의와 자세한 설명이 있다. 또한 해당 용어와 관련 있는 용어를 3개씩 추가로 배치해, 총 1,024개의 디지털 마케팅 용어를 배울 수 있게 했다. 뿐만 아니라 모든 주요 용어를 나타내는 실생활 밀접 일러스트가 함께 있어 디지털 마케팅이 처음인 사람도, 디지털 마케팅 용어를 후배나 클라이언트에게 쉽게 설명해야 하는 사람도 수월하게 내용을 활용할 수 있게 했다.",S000217585845
"기본 이론에서 실무 예제까지, HANA 기반 Easy ABAP 3.0",김성준 외,프리렉,20250922,60000.0,54000,0,,"이 책은 ABAP 개발자가 반드시 알아야 할 기본 이론부터 최신 실무 예제까지 폭넓게 다루며, 단계적으로 학습과 실습을 이어갈 수 있도록 구성했습니다. 꾸준히 사랑받아 온 《Easy ABAP 2.0》의 깊이 있는 내용을 바탕으로, 이번 개정판에서는 New ABAP, Fiori 등 최신 기술까지 아우릅니다. 실무에서 바로 활용할 수 있는 지식과 노하우를 더욱 풍부하게 담아냈습니다. 또한, 늘어난 분량과 상세한 해설을 반영하여 상·하권으로 분권하였으며, [부록]에서는 ABAP 7.40 릴리즈 이후 도입된 새로운 구문을 이전 버전과 비교하여, 독자가 효과적으로 이해하고 적용할 수 있도록 정리했습니다.",S000217502880
